,text
84,"I heard '90s fashion is coming back. 🎃

Happy Halloween, everyone! https://t.co/R8tixhSmjt"
85,It’s not too late for lawmakers to include paid leave in the budget package. I urge Congress and the administration to find a way to invest in a better future by passing a national paid leave plan now. 5/5
86,Paid leave is one of few public policies with broad bipartisan support—because we will all need to provide or receive care someday. This is our opportunity to fix a flaw in our system that has held our country back for decades. We can’t waste it. 4/5
87,"The pandemic revealed with brutal clarity how the lack of paid leave hurts women, families, and the economy. It is unconscionable that we would continue to force workers to choose between their health, caring for their loved ones, and their paychecks. 3/5"
88,"But I’m disappointed that #PaidLeave, an essential piece of the caregiving puzzle, was left on the cutting room floor. 2/5"
89,"Today, the White House announced a historic commitment to U.S. families by investing in child care, home care, the Child Tax Credit, and universal pre-k. To the leaders and advocates whose strength and determination made this moment possible: thank you. 1/5"
90,"This welcome step by @Merck will help ensure a promising COVID-19 treatment is both widely available and affordable for lower-income countries.

An effective response to COVID-19 must be an equitable one.  https://t.co/pPGfB8tYco"
91,"COVID-19 exposed the barriers that make women more economically vulnerable in crises like pandemics.

At #HerPower2021, I was honored to join a conversation with @ReenaNinan and @SongweVera about making sure the global recovery lifts up women and girls. https://t.co/YQNPthTcgX"
92,"Congress must #SavePaidLeave—families and businesses are counting on policymakers to act.

Learn why in @TIME. https://t.co/YpIXaoCmb5"
93,"When you’re caring for a loved one who is fighting for their life, the last thing you need to worry about is losing your job. 

It's time for Congress to end these impossible choices and pass #PaidLeave. https://t.co/sqU1hbBjgz"
94,"RT @MomsRising: Yes, we are still fighting for paid family/medical leave to stay in the package as @POTUS promised last week! Thank you, @S…"
95,"RT @PaidLeaveUS: Paid leave is a priority for moderates, conservatives, progressives, it is supported by labor and business. It will unite…"
96,One of the @gatesfoundation’s top priorities is to #EndPolio—and women health workers are key to making it happen. #WorldPolioDay https://t.co/VAJFQ4Q5Jl
97,"Such an important milestone and a critical step in the right direction. Gender equity and equality are foundational to the economic strength, security, and overall health of our country and our world. This is how we build back better. 
https://t.co/WuCrZRP4YD"
98,"The stories we tell shape our world. 

With support from my company, Pivotal Ventures, this @womenshistory project will ensure that women's and girls' unique voices and experiences are included in how we tell the COVID-19 story. https://t.co/fjmePVV7nS"
99,"Congrats to @MoHFW_India, @MansukhMandviya, @DrBharatiPPawar, and the people of India on their huge feat of administering 1 billion doses and vaccinating more than 478 million women. And thank you to the frontline workers who made it possible! https://t.co/pt2D4jhfiM"
100,"“In taking care of your child, you take care of your community, and you take care of your country.” An urgent message from Meghan Markle, the Duchess of Sussex, about the importance of passing #PaidLeave. https://t.co/4V17RsyJgi"
101,"To end this pandemic, we must ensure that everyone has access to life-saving treatments, no matter where they live.

This commitment will help expand access to the promising drug molnupiravir, but it’s not the end of the story. We need other donors to act.
https://t.co/9LdGDp5Dhs"
102,What a joy to celebrate the light and love of Jenn and Nayel this past weekend. So grateful we were able to find a way to safely gather for this special day. ❤ https://t.co/Zr1lvooMI0
103,"Colin Powell was a soldier, statesman, and proud son of immigrants, but I knew him best as a global health champion. I admired his leadership in the fight against HIV/AIDS and his belief that a brighter future for our country depends on a brighter future for the world."
104,"Amazing! Tell Congress that #CareIsEssential, and help make lasting change for care workers. 
https://t.co/se4NKWHg7d"
105,.@WHO's recommendation of the first malaria vaccine for children in Africa brings us one step closer to a malaria-free world. I'm inspired by the scientists and partners who have dedicated their lives to #endmalaria—starting in 1965 with immunologist Ruth Nussenzweig. https://t.co/BqDyTf3LZp
106,"RT @PaidLeaveUS: From families to businesses, our message to Congress is loud and clear: this is the moment for #paidleave. https://t.co/bU…"
107,We need donor countries to step up and drive resources to the greatest needs. Recovery is only inevitable if we make it inclusive. 4/4
108,"This means putting women at the center and investing in caregiving, affordable childcare, and financial inclusion. It means providing quality education and nutritious food. It means strengthening healthcare systems and making sure everyone has access to a vaccine. 3/4"
109,"As the @WorldBank convenes its annual meetings this week, one message must ring out loud and clear: We need to support an economic recovery that works for everyone. 2/4"
110,"COVID-19 pushed 31 million people into extreme poverty, and we’re seeing record levels of inequality. While wealthier nations are starting to recover, others lack the resources they need to bounce back. 1/4"
111,"RT @vowforgirls: Endless possibility for girls means ending child marriage. On International #DayOfTheGirl, let's ✋ #StopTheClock on child…"
