,text
135,".@JadAbumrad, creator and host of @Radiolab, will speak at the Student Life Center March 18 as part of a daylong conference, “Improving Science Communication: The Promise of Science and Humanities Collaborations.” 

Register ⬇️ https://t.co/BG1Q8lnTUi"
136,"RT @VU_Chancellor: On this Founder’s Day, Chancellor Diermeier is expressing gratitude for the extraordinary efforts of those at the heart…"
137,"As partners in the new Intelligent Ecosystem Collaborative, @MetroNashville will identify potential projects that have a need for further investigation, and Vanderbilt will identify research teams that are aligned with the research needs. https://t.co/tmW92FtI5s"
138,See the full list of Vanderbilt Women's History Month events at the link below. https://t.co/WHgUMs2aAG
139,"Vanderbilt's celebration of #WomensHistoryMonth continues with a March 17 virtual talk by @TheMirnavator, an ultrarunner and advocate for the inclusion of all people—regardless of race, gender or size—in running and fitness. 

Register ⬇️ https://t.co/9s1lBEs1G5"
140,"RT @vucommodores: We'll see you on Thursday, Commodore Nation.

🎟 https://t.co/1tjwbw8hUB

#AnchorDown"
141,RT @VandyMBB: Got the win 😤 https://t.co/X3zljz8W2u
142,RT @VU_Chancellor: Chancellor Diermeier and @VandyAD anchoring down in Memorial tonight. https://t.co/zwOHFjhV5t
143,"RT @vucommodores: Oh, what a night.

🏀 @VandyMBB 
⚾️ @VandyBoys 

#AnchorDown https://t.co/RU3mxqsRDn"
144,"RT @vucommodores: Commodore Nation in full force tonight 💪

#AnchorDown https://t.co/nzLXwAZGjU"
145,"RT @vucommodores: ""We are so proud of you and can't wait to cheer you on."" 🗣 @VandyAD

#AnchorDown | @VandyMBB x @VandyWBB https://t.co/Mj1…"
146,"Six portraits honoring Vanderbilt women who have helped shaped the university and its history were unveiled this week during an event at the Margaret Cuninggim Women’s Center.

See more photos: https://t.co/xz2L8k4TgB #WomensHistoryMonth https://t.co/eLiq22zMiO"
147,"The Vanderbilt Summit on Modern Conflict and Emerging Threats will feature a keynote address from Gen. Paul M. Nakasone, Commander of U.S. Cyber Command and Director of @NSAGov.

Learn more about @CYBERCOM_DIRNSA and the inaugural summit on May 4-5.⬇️
https://t.co/gZAAvXUJex"
148,"RT @VU_Chancellor: “From preseason drills to poised performances in front of national audiences during the SEC Tournament, @vandymbb has ea…"
149,"Did you know that Vanderbilt students, faculty, staff and postdocs can ride the @WeGoTransit buses for free with a Commodore Card?

Learn more at https://t.co/d9nQaE0ed3. https://t.co/G4MAEz4QAV"
150,"Starting March 16, the Engine for Art, Democracy and Justice will present new programs focusing on art as an act of solidarity and resistance.

Learn more about the programs and partnership with 
@Fisk1866, @fristartmuseum and @AMillionConvos. ⬇️
https://t.co/WN22DUmFnL"
151,"RT @vanderbiltlaw: ""Alongside the reality of desperate people fleeing danger is a rich history of classic texts about characters seeking pr…"
152,"RT @VandyMBB: Excited to play in front of the best fans in the country ❤️ 

General Admission: https://t.co/2gEoambYYs
Reserved Seats: http…"
153,"RT @VandyWBB: Don't miss another night in Memorial. WNIT tickets on sale now.

🎟 https://t.co/QCpomw7mNo
📍 Memorial Gymnasium
⏰ 7 p.m.
🆚 Mu…"
154,"RT @VandyUnity: REGISTER NOW for our event Tues, March 15 at 6pm CST! @VandyUnity is hosting the first public sit-down between @cyntoia_bro…"
155,"A full-scale test of the AlertVU system is scheduled for Tuesday, March 15 at 2 p.m. CT.

AlertVU sends messages to the Vanderbilt community in the event of an imminent threat or danger. Learn more and make sure your information is up to date ⬇️ https://t.co/mEsaSfwxKF"
156,"RT @VandyMBB: 🚨🎟️

It’s time to bring the #MemorialMagic – get your tickets now for tomorrow's NIT game vs. Belmont at 6 p.m.

General Admi…"
